pdf,study,L1,L2,L3,L4,L5,L6,L7,L8,profile,R,status
1,"Saroli et al. (2025)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
2,"Suppelt et al. (2025)",0,1,1,1,0,1,1,1,01110111,0.750,resolved
3,"Michalec and Faller (2024)",1,1,1,1,1,1,1,1,11111111,1.000,resolved
4,"Dimo et al. (May 2024)",0,1,1,1,1,1,1,0,01111110,0.750,resolved
5,"Dimo et al. (Nov 2024)",0,1,1,1,1,0,0,0,01111000,0.500,resolved
6,"Lo Presti et al. (2022)",0,1,1,1,1,1,1,0,01111110,0.750,resolved
7,"Aros Taglioni et al. (2024)",0,1,1,1,1,0,1,0,01111010,0.625,resolved
8,"Imranuddin et al. (2025)",1,1,1,1,1,1,1,1,11111111,1.000,resolved
9,"Wang et al. (2024)",0,1,1,1,1,0,1,0,01111010,0.625,resolved
11,"Moscol Albanil et al. (2026)",0,1,1,1,1,1,1,0,01111110,0.750,resolved
12,"Farid et al. (2025)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
13,"Xu et al. (2025)",1,1,1,1,1,1,0,0,11111100,0.750,resolved
14,"Babu et al. (2025)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
15,"Lavorgna et al. (2025)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
16,"Cheng-Yu et al. (2021)",0,1,1,1,1,0,1,0,01111010,0.625,resolved
17,"Kumar et al. (2023)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
18,"Kim et al. (2019)",0,1,1,1,1,1,1,1,01111111,0.875,resolved
19,"Imanian et al. (2023)",1,1,1,1,1,0,1,0,11111010,0.750,resolved
20,"Lo Presti et al. (2024)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
21,"Sobianin et al. (2024)",1,1,0,1,0,1,1,0,11010110,0.625,resolved
22,"Christ et al. (2017)",1,1,1,1,1,0,0,0,11111000,0.625,resolved
23,"Xiang et al. (2020)",1,1,1,1,1,0,1,0,11111010,0.750,resolved
24,"Loh et al. (2021)",1,1,1,1,0,1,1,0,11110110,0.750,resolved
25,"Jain et al. (2023)",1,1,1,1,0,1,1,0,11110110,0.750,resolved
26,"Bang et al. (2023)",1,1,1,1,1,0,1,0,11111010,0.750,resolved
27,"Kai et al. (2023)",1,1,1,1,0,0,0,0,11110000,0.500,resolved
28,"Guo et al. (2023)",0,1,1,1,1,0,1,0,01111010,0.625,resolved
29,"Davoodi et al. (2020)",1,1,1,1,1,1,1,0,11111110,0.875,resolved
30,"Christ et al. (2019)",1,1,1,1,1,0,1,0,11111010,0.750,resolved
